acreage,address,category,crops,date,email,name,phone,processed_products,profile,short_description,website
,"295 Elwood Canyon Rd.
Goleta, CA 93117, United States",,"Seeds And Seedlings,Seedlings",20151024,,Healing Grounds Nursery,2,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"327 Route 21C
Ghent, NY 12075, United States",Farm | ,"Vegetables,Asparagus,Beetroot,Broccoli,Brussels Sprouts,Cabbage,Carrots,Cauliflower,Celery,Chicory Root,Courgette,Cucumbers,Dandelion,Endive,Eggplant,Garlic,Horseradish,Kale,Kohlrabi,Lettuce,Leek,Melons,Onions,Parsley Root,Parsnips,Pepper Capsicum,Potatoes,Radicchio,Radishes Red,Rhubarb,Spinach,Spring Onions,Sweet Potatoes,Tomatoes,Turnips,Herbs And Spices,Basil,Borage,Chervil,Coriander,Dill,Hyssop,Lemon Balm,Lovage,Mint,Oregano,Rosemary,Sage,Thyme,Legumes,Beans,Peas Green,Grains,Barley,Rye,Spelt,Sweet Corn,Triticale,Wheat,Fodder And Grassland,Fodder Crops,Grassland,Oil Crops,Sunflowers,Other Crops,Flowers,Other Annual Crops",20151023,,Hawthorne Valley Farm,3,"Milk Products And Milk Replacers,Milk Cow Full Fat","Since 1972, Hawthorne Valley has remained committed to social and cultural renewal through the integration of education, agriculture, and the arts. Situated on a 400-acre, working Biodynamic farm with a variety of diverse enterprises which provide Biodynamic vegetables, dairy, and baked goods regionally. In addition to our quality farm products, we offer educational programs for both children and adults, with an emphasis on creating lasting relationships that connect people, agriculture, and the earth.","
           “The time has come to celebrate the growing and giving of good food as the highest gift and most revolutionary act.”
           ",hawthornevalleyfarm.org
"1,300  Acres","13048 Highway 29
Lower Lake, CA 95457, United States",Vineyard | ,"Fruit,Grapes For Wine",20151023,,Hawk & Horse Vineyards,1,,"We are a family owned and operated vineyard and ranch practicing Biodynamic viticulture on a historic property in the Red Hills AVA of Lake County, CA.  We specialize in Cabernet Sauvignon.  We offer ranch and vineyard tours by appointment.
Cropped: 18 acres to wine grapes (Cabernet Sauvignon, Petite Verdot, Cabernet Franc, Petit Syrah.) Acres
Total Acreage: 1,300  Acres","
           “...Hawk and Horse Vineyards is at the forefront of two important changes in California.  First, the rise of organic and...Biodynamic farming.  Secondly, they showcase the ability of wineries in lesser known regions to produce world class Cabernet Sauvignon.”
           ",hawkandhorsevineyrds.com
,"327 Route 21C
Ghent, NY 12075, United States",Creamery | Agriculture Education | Farm | ,,20151023,,Hawthorne Valley Dairy,3,"Cheese,Cheese Cow,Milk Products And Milk Replacers,Milk Cow Full Fat","The Hawthorne Valley Farm Creamery is part of the larger non-profit organization Hawthorne Valley Association, which is dedicated to education, agriculture and the arts and has a wide range of programming.  The Creamery, based on our farm in Ghent, New York, produces a range of certified organic and Biodynamic products including cultured milk products and a selection of artisan and farmstead cheeses.   Our 60-head herd of dairy cows forms the nucleus of Hawthorne Valley Farm which was one of the first dairies in the United States to be certified organic and licensed to sell raw milk.  Our Creamery came into full operation over thirty years ago and began offering yogurt, cheeses and raw milk.","
           “Made in the classic style using a copper vat and the raw milk of free-roaming cows, it's no wonder Hawthorne Valley's biodynamic Alpine-style cheese tastes so authentic--nutty and dense, with an abundance of sweet-saline flavors.”
           ",hawthornevalleyfarm.org/artisen-foods/creamery/
41 Acres,"3185 Dry Creek Road
Napa, CA 94558, United States",Farm and On-Farm Processor of Fruits and Herbs | Agriculture Education | Vineyard | Farm | ,"Fruit,Apples,Apricots,Figs,Grapes For Wine,Pears,Persimmon,Plums,Pomegranates,Herbs And Spices,Lavender,Medicinal Herbs,Rosemary,Verbena,Other Crops,Flowers",20151023,,Harms Vineyards & Lavender Fields,3,"Beauty Spa Products,Bath Additives,Cosmetic And Personal Care Products,Other Body Care Products,Essential Oils,Lavender Oil,Herbs And Spices And Salt,Other Herbs","We are a small family owned ranch on the western range of the Napa Valley. We both grew up on small farms in the Midwest and never expected to fall in love with a piece of land again, but we did!  Our ranch is rugged and suited to vineyards, aromatic plants, trees, and goats (our compost makers).
We began using Biodynamic techniques in our farming in 1999 because our vines were weak and our grapes, not ripening.  Not only did our grapes ripen, but we increased production by 90%. The health of our soil has improved so much we barely irrigate the vines.
We grow chardonnay grapes as well as lavender, rosemary, rose geranium, helichrysum italicum and are excitedly awaiting our first bumper crop of fuyu persimmons. Most of our lavender is Grosso, a lavendin, a hybrid of spike lavender and English lavender. It has about 16 times the amount of oil as true English lavender, which makes it ideal for dried flowers. We are experimenting with an English lavender developed in Oregon, Buena Vista, to see how it survives our winters. We dry some of the lavender and Donald estate distills the aromatics. We sell the hydrosols to small cosmetic makers as well as wholesale to local stores and we have a store on the internet. Once a year when the lavender is in full bloom we have an Open House, which we announce on our website. (2014 we are taking a break due to replanting of significant amounts of lavender.)
Cropped: 8 Acres
Total Acreage: 41 Acres","
           “My husband just had triple bypass surgery, and, of course, I brought my lavender oil with me to the hospital.  The nurses in ICU asked me whether the smell was lotion.  When I told them it was lavender oil, they each commented separately that they had never smelled anything like it.  “Usually that stuff smells fake.”  So I’m going to give each of them a bottle of it— everyone deserves a treat!”
           ",harmslavender.com
120 Acres,"5578 State Route 202
Tipp City, OH 45371, United States",Cosmetic | Essential Oils/ Aromatherapy | Medicinal Herb Garden and Apothecary | Farm | ,"Fruit,Elderberries,Vegetables,Cucumbers,Garlic,Herbs And Spices,Arnica,Calendula,Chamomile,Echinacea,Lavender,Medicinal Herbs,Mullein,Nettle,Plantain,Peppermint,Rose,Sorrel,Valerian,Legumes,Clover,Clover Red,Grains,Buckwheat,Fodder And Grassland,Grassland,Oil Crops,Sunflowers,Other Crops,Flowers,Other Annual Crops,Other Permanent Crops",20151023,,"Harmony Farm Wellness, LLC",5,"Cosmetic And Personal Care Products,Facial Moisturiser,Other Cosmetic Products,Other Body Care Products,Other Plant Extracts,Tea,Herbal Tea,Speciality Teas","Harmony Farm has been a Wellness/Retreat Center since 1990. Our 120 acre farm along the banks of the Great Miami River near Tipp City, Ohio, offers clients a place to experience various activities centered within the calming and healing powers of the land. Services include massage therapy and other forms of bodywork, classes and retreats.
In 2006 after decades of traditional farming practices we recognized the need to repair and heal the soil for future generations. We embarked on a transition to organic farming practices and in 2009 we received USDA/NOP organic certification and in 2012 our Biodynamic® certification. More than 500 lavender plants make up our foundation crop. In addition, we raise over 14 other herbs and each year we add to that diversity. The hay in the upper fields provides food for organic dairy cattle that pasture with us from a neighboring farm.
Increasing the “life force” of the soil through the Biodynamic® practices allows us to grow plants that are full of vitality which are harvested and processed by hand to make the highest quality infusions, tinctures and essences. Our certified organic and Biodynamic® cosmetic products and herbal supplements are the result of this “circle of life” that is part of Harmony Farm.
Our product line includes over 30 certified Biodynamic® flower essences made from both cultivated and wild-crafted plants growing on the farm. These flower essences are the result of an energetic imprint of the flower on water, impacting our emotional issues and blockages on an energetic or vibrational level.
Our lip balms and infused body oils are hand-crafted in small batches from the vibrant flowers in our gardens. Tinctures such as osha root are made by extracting the plant material using Biodynamic® alcohol. Our Garlic Mullein ear drops, one of our infused medicinal oils, helps soothe achy ears. Check the download links at the end of this profile for a complete list of Harmony Farm's Demeter Certified Products.
Cropped: 64 Acres
Total Acreage: 120 Acres","
           “Harmony Farm…a sacred space
",www.harmonyfarmonline.com
,"12141 Hewlitt & Sturtevant Road
Hopland, CA 94559, United States",,"Fruit,Grapes For Wine",20151023,,"Jeriko Vineyards, LLC",1,"Wine,Wine Red,Wine White",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"412 Commercial St.
Nevada City, CA 95959, United States",,,20151024,,HAALo,4,"Cosmetic And Personal Care Products,Other Body Care Products",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
71 Acres,"26567 North Road
Hotchkiss, CO 81419, United States",Vineyards/hopyards/livestock/winery/distillery | ,"Fruit,Grapes For Wine,Other Crops,Hops",20151023,,"Jack Rabbit Hill, LLC",2,"Wine,Wine Red,Wine White","Jack Rabbit Hill Farm is 70-acre diversified farm near Hotchkiss in western Colorado, and is the home of Jack Rabbit Hill estate wines, Peak Spirits Distillery-makers of CapRock, WineTapistry keg wines for restaurants, and Jack Rabbit Hops for craft brewers.
Cropped: 30 Acres
Total Acreage: 71 Acres","
           “You see a magnetic needle. You discern that it always points with one end approximately to the North, and with the other to the South.   You think, why is it so?  You look for the cause, not in the magnetic needle, but in the whole Earth, inasmuch as you assign to the one end of the Earth the magnetic North Pole, and to the other the magnetic South.”
           ",www.jackrabbithill.com
,"16625 NE Hillside Drive
Newberg, OR 97115, United States",Biodynamic | Vineyard | Farm | ,"Fruit,Grapes For Wine",20151023,,Jacob Hart Vineyard,1,,"Every vineyard has a story to tell. The French call it terroir, which refers to a sense of place, the sum of the geographical effects that influence the grape and in the end, the wine made from it. The Jacob-Hart Vineyard is no exception; it is an excellent storyteller if you know how to listen. Named in honor of REX HILL's founders, Jan Jacobsen & Paul Hart, the Jacob-Hart Vineyard was purchased in 1987. An old turkey farm, the land found tangible results growing grapes. Located on a warm southeast facing slope of the Chehalem Ridge, fruit at this vineyard is harvested a week or two before other REX HILL Pinot Noir sites. This beautiful vineyard offers both volcanic and sedimentary soils; to have both soil types in one vineyard is extremely unusual in the Willamette Valley. In places, the earth is so rocky that the vines were planted using a pickaxe instead of a shovel and it cannot be farmed with a tractor. These prized blocks produce the exceptional fruit that comprises Jacob-Hart Vineyard selections while most of the remainder provides the basic structure for our Reserve wines.","
           “Jacob-Hart is one of the rockiest vineyard sites in Oregon. The 'soil' is brutally hard on the men and equipment, but some of the most unique and distinctive wines in Oregon are created from that severity. It's amazing to see year in and year out wines of power, depth, complexity and elegance issue forth from the challenging terroir that is Jacob-Hart.”
           ",www.rexhill.com/Winery---Vineyards/Jacob-Hart-Vineyard
,"11505 Perpetual Drive
Odessa, FL 33556, United States",,,20160818,,Seitenbacher America LLC,1,"Frozen Bakery Products,Oils And Fats,Olive Oil,Sunflower Seed Oil,Other Oils",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
207 acres Acres,"Apartado 158-4400 Ciudad Quesada
San Carlos,  Costa Rica",Retail/Wholesale | Biodynamic | Organic Food Producer and Vendor | Medicinal Herb Garden and Apothecary | Agriculture Education | Farm | ,"Vegetables,Pepper Capsicum,Herbs And Spices,Curcuma,Ginger,Other Crops,Tea,Other Permanent Crops",20151023,,Luna Nueva Extractos de Costa Rica,A,,"Company Mission
""To provide a hosting service, cuisine and quality educational tours offering our guests an unique experience in harmony with nature, sharing our expertise in Biodynamic and organic production.""
Company Vision
""To be recognized nationally and internationally as a tourist business using sustainable practices and environmental preservation.""
Finca Luna Nueva is a living classroom where people can come to study and learn. This is the essence of what makes this place so very special: diversity. Biodiversity of the rainforest and the bright assortment of individuals that find their way to us.
The tapestry of Finca Luna Nueva has been woven with nothing less than miraculous individuals, both local and foreign, integrating to create a place to teach and inspire.  The farm is alive with energy and excitement from the biodynamic method we employ and by the sacred bond we have with the land and the preservation of our most precious natural resource: the rain forest.
We honor the farmers of Finca Luna Nueva who, largely unseen by the world, are contributing to the seed-saving and organic movement and supporting rainforest preservation.
Progressive farmers, scientists and teachers worldwide come to Finca Luna Nueva to experience the “beating green heart.” These thinkers and philosophers are attracted to the energy and nutritional density of our food and the phytochemical richness of our Biodynamic herbs.
Currently, Finca Luna Nueva is developing projects and tours that include working with raw, Biodynamic cacao, extensive permaculture, aquaculture, animal husbandry, yoga, making fun treats like ginger candy and Mamon chino “frutas de rollos.”
We are the home to a beautiful conference center where people can come to work and play. To meet our farm and our people is to love our farm and our people.
We are more than just a farm or just an eco-lodge. Finca Luna Nueva is a destination for universities, graduate students, professors, families, scientists and anyone who wants to learn more about where their food comes from, regenerative farming and carbon sequestration, and preservation of biodiversity.
Cropped: 57 acres Acres
Total Acreage: 207 acres Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",fincalunanuevalodge.com/index.php
22 Acres,"2317 Vine Hill Road
Santa Cruz, CA 95065, United States",Biodynamic | Farm | Agriculture Education | ,"Fruit,Lemons,Oranges,Vegetables,Beetroot,Broccoli,Brussels Sprouts,Cabbage,Cabbage Red,Carrots,Cauliflower,Celery,Cucumbers,Dandelion,Eggplant,Garlic,Jerusalem Artichokes,Kohlrabi,Lettuce,Leek,Melons,Onions,Pepper Capsicum,Potatoes,Radicchio,Radishes Red,Radish White,Spinach,Turnips,Herbs And Spices,Basil,Chamomile,Chervil,Chives,Cinnamon,Dill,Fennel Spice,Hyssop,Lavender,Lemon Balm,Lemongrass,Lovage,Marjoram,Mint,Nettle,Oregano,Parsley,Peppermint,Rosemary,Savory,Sorrel,Tarragon,Thyme,Verbena,Legumes,Beans,Beans Faba,Chickpeas,Peas,Grains,Amaranth,Other Crops,Flowers,Other Annual Crops",20151023,,Love Apple Farms,2,,"Love Apple Farms originally became known for growing 100 varieties of heirloom tomatoes each year. The farm is now the exclusive kitchen garden for world-renowned Manresa Restaurant (Los Gatos, California).
Cynthia Sandberg, owner and farmer, uses biodynamic and organic techniques to grow over 300 different cultivars of fruit, vegetables, herbs and edible flowers for the restaurant.  Beginning her work life as a trial attorney, Cynthia transitioned to farming after falling in love with gardening in her backyard on a bit more than one acre in the Santa Cruz Mountains.  Founding Love Apple in 2000, Cynthia started as a tomato plant grower and had a small tomato fruit stand on her Ben Lomond property.  In 2010, she purchased 22 acres on the former site of the Smothers Brothers Winery on Vine Hill Road in Santa Cruz and re-established her farm on the terraced hillside.
Achieving Demeter certification as a biodynamic farm in 2012 was a proud milestone for Love Apple.  Cynthia has spoken at numerous gardening and farming conferences and garden clubs, including the San Francisco Flower & Garden Show, Eco-Farm, MAD Symposium in Copenhagen and Nordic Barista Cup in Oslo, Norway.  Cynthia is a sought-after garden speaker on topics such as Mastering the Art of the Tomato, Introduction to Biodynamic Gardening, Farmer/Chef Relationships, and How to Make a Living from your Backyard Garden.  Cynthia can be contacted by emailing her at loveapplefarms@gmail.com
We give a number of fun and informative gardening and cooking classes at the farm during the year.  Topics covered have included “Tomato Seed Starting Class,""  ""Cheese-Making,"" Chicken-Keeping,""  ""Summer Vegetable Gardening,"" ""Container Vegetable Gardening,"" ""Bee-Keeping,"" Winter Vegetable Gardening,"" ""Simple Drip Irrigation System,"" and our popular ""Tomato Masters"" class for real tomato aficionados.
Love Apple Farms also offers off-site satellite workshops for organizations.  If you are interested in bringing the farm to your business or club for an on-site workshop, please contact us at loveapplefarms@gmail.com.
Love Apple Farms is home to the largest tomato plant sale in California, with well over 100 varieties of heirloom tomato seedlings each spring, from March to June.  Our retail greenhouse is at Ivy's Porch, located at 5311 Scotts Valley Drive, Scotts Valley, CA.
Cropped: 2 Acres
Total Acreage: 22 Acres","
           “On these twenty-two acres, as many as a hundred varieties of tomatoes grow. There are goats, chickens, three beehives, flowers, ancient strains of vegetables... Here, harvest is permanent, since all parts of the plant might land on a plate.”
           ",www.loveapplefarms.com
,"6220 Caras Lane
Lolo, MT 59847, United States",,,20151024,,Lolo Locker,6,"Ham And Sausages,Dried Meat,Ham,Salami,Sausages,Meat And Eggs,Beef,Minced Meat,Pork",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
25 Acres,"3502 East Traverse Highway
Traverse City, MI 49684, United States",Medicinal Herb Garden and Apothecary | Agriculture Education | Farm | ,"Fruit,Apples,Apricots,Blueberries,Cherries,Cranberries,Elderberries,Figs,Grapes,Lingon Berries,Olives,Peaches,Pears,Plums,Quinces,Raspberries,Strawberries,Vegetables,Dandelion,Herbs And Spices,Basil,Bee Balm,Borage,Calendula,Chamomile,Chives,Coriander,Cornflower,Dill,Fennel Spice,Fenugreek,Ginseng,Herbs,Hibiscus,Hyssop,Lavender,Lemon Balm,Lemongrass,Mallow,Mint,Nettle,Oregano,Parsley,Rosemary,Sage,Stevia,St. John's Wort,Valerian,Verbena,Legumes,Clover,Lucerne,Grains,Buckwheat,Millet,Oats,Fodder And Grassland,Fodder Crops,Grassland,Oil Crops,Flax,Poppy,Safflower,Sunflowers,Other Crops,Flowers,Mushrooms,Other Annual Crops,Other Permanent Crops",20151023,,Light of Day Organics,3,"Sweeteners,Maple Syrup,Tea,Oolong Tea,Speciality Teas","About Us
Light of Day Organic Farm and Tea Shop is a Northern Michigan company, located in gorgeous Leelanau County, just 8 miles West of historic downtown Traverse City. We are 8 miles from Lake Michigan, and are on the direct route (M-72 West) to the Sleeping Bear Dunes National Lakeshore. Our address is: 3502 E. Traverse Hwy. Traverse City, Michigan. Please visit our “Hours of Operation” page for seasonal visiting hours.
Our story
Light of Day Organics was founded by a Traverse City Mom named Angela Macke in 2003. Her background in Holistic health, (as both a Registered Nurse, Educator, and Horticulturalist), plus her own positive experience utilizing gentle, natural rhythms to successfully manage an auto-immune disease, plays an integral role in the thoughtful creation of each original product. Around here, we believe that a holistic approach is the most effective way to restore optimal health and a sense of well being. Helping our customers to create healthy lifestyle habits that support the prevention of illness, increase overall vitality, passion for life, and supporting the path to full actualization of  our full potential as human beings is our daily practice and intentional goal of our work.
Our Farm and production
Our products are Certified Organic and the Lion’s share (57%)  are grown right here on our certified Demeter Biodynamic farm in Traverse City under the guidelines of the National Organic Program, and Demeter U.S. The exceptionally high quality botanicals are hand-harvested, dried in our licensed commercial farm kitchen, then finish blended in small batches by hand to promote consistency, to maximize freshness and with the intention of offering them to you in their most pristine state. We hope that you enjoy the maximal nutritive benefits as Mother Nature intended.
Certifications and Process
We believe in honest tea and honest advertising here. This means supporting local and foreign farmers through certified (third-party verified, which includes annual audits) Fair Trade certified practices (Transfair USA) , growing and buying only 100% certified Organic (Stellar certification services and Demeter Biodynamic)  agricultural commodities.  Our teas and tisanes are Gluten-free.
Conscientious Packaging
We believe in presenting these products in their most natural, loose form. They have been packaged in lovely, domestically-manufactured, polished silver tins to protect them from the elements. We used a local designer, and local printer for soy-based ink labels and other packaging needs using Earth-friendly sustainable materials. We hand blend to completion in small batches, then package and label our teas right here in our farm kitchen.
Quality of Product / Quality of Life
We wanted to make sure that taste wasn’t the only thing to feel good about. Ensuring the highest quality of tea for you and life for those who bring it to us is part of our mission. We honor all of those involved in bringing this extremely labor-intensive crop from the fields to our cup by paying everyone a proper living wage and encouraging the spiritual sacredness of the family unit and community with time off from work to recharge and to play in this beautiful area that we are blessed to call “home”.
It is Light of Day’s sincere intention that you may enjoy balance and reach your full potential as a human being! We want for everyone to enjoy superb health, inner peace, joyfulness, and be on a well-lit path that will benefit the greater good with all that you do. We hope that you will discover, (and hopefully learn to cherish), the ancient and life-giving ritual of having a “spot of tea.”
For all of us here at Light of Day, tea is so more than an iced beverage to soothe your thirst in the Summertime, or to comfort your sore throat in the Wintertime.  We have come to appreciate that the commitment to daily self care  by taking time out to enjoy tea is a representative of the commitment and conscious choice  to live simply, and to live each day with a wonder and deep reverence for every created thing.
We really appreciate you taking the time to learn about us, and hope that you'll visit our Press Page to watch a PBS special where we were featured, ad well as read other good press.
Thank you.
Cropped: 13.7 Acres
Total Acreage: 25 Acres","
           “Sit back, sip your tea, and just appreciate the wonder of every created thing...”
           ",lightofdayorganics.com
"50 acres owned, 40 leased Acres","25451 East Lane
Covelo, CA 95428, United States",Biodynamic | Farm | Agriculture Education | ,"Fruit,Vegetables,Beetroot,Broccoli,Cabbage,Carrots,Cauliflower,Chinese Cabbage,Cucumbers,Eggplant,Garlic,Kale,Kohlrabi,Lettuce,Leek,Melons,Onions,Parsnips,Pepper Capsicum,Potatoes,Radishes Red,Spinach,Tomatoes,Tomatoes Cherry,Turnips,Watermelons,Herbs And Spices,Basil,Coriander,Cress,Dill,Mustard,Parsley,Legumes,Beans,Peas Green,Grains,Barley,Rye,Sweet Corn,Wheat,Fodder And Grassland,Fodder Crops,Rough Grazing,Other Crops,Other Annual Crops",20151023,,Live Power Community Farm,2,,"Founded in 1973 by Stephen and Gloria Decater, Live Power Community Farm is a 50-acre, solar electric and horse-powered, diversified, certified biodynamic farm. Four acres are devoted to an intensive vegetable garden hosting some 60 varieties of vegetables and herbs. We use a glasshouse and cold frames to propagate vegetable and flower transplants, and grow home orchard fruits and field and forage crops for hay, grain, and pasture. Animal husbandry includes draft horses, dairy and beef cows, feeder pigs, sheep, and laying hens.
Cropped: 4 acres in vegetables, 2 acres in wheat and barley, 45 hay Acres
Total Acreage: 50 acres owned, 40 leased Acres","
           “Spirit Never Without Matter
",www.livepower.org
20.0 Acres,"4210 Upson Road
Carpinteria, CA 93013, United States",Biodynamic | ,"Fruit,Avocados",20151024,,Las Palmalitas Ranch,4,,"Family run since 1865 for four generations. 20 acres of avocados farmed biodynamically with surrounding 50 acres of avocados cousins property certified organic by Stellar.
Billy Carleton and his father Will run the business which packs both the biodynamic fruit and that of local organic farmers including their cousins.  Most fruit is sold through west coast organic distributors (Veritable Vegetable primarily) and to some local organic retailers.  In addition, there is a web-site where individuals can buy this fruit.  (organicavocados.net)
Cropped: 16.5 Acres
Total Acreage: 20.0 Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",organicavocados.net
,"2533 Pleasant View Drive
Victor, MT 59875, United States",Biodynamic | Farm | Organic Food Processor and Vendor | Organic Food Producer and Vendor | ,"Grains,Oats,Fodder And Grassland,Fodder Crops,Grassland",20151024,,Lifeline Farm,2,"Cheese,Cheese Cow,Ham And Sausages,Dried Meat,Ham,Salami,Sausages,Meat And Eggs,Beef,Minced Meat,Pork,Milk Products And Milk Replacers,Butter,Cream From Milk,Milk Cow Full Fat,Milk Cow Low Fat","Lifeline Farm Inc. is a producer-distributor of Biodynamic, Certified Organic beef, pork & dairy products. All dairy products; milk, butter, cream, half & half, and cheeses (Cheddars, Jacks, Montzarella, Brie, & Feta) are manufactured at our Creamery. Lifeline Creamery & Farm Store is located in Victor about a mile from the farm. Our dairy products can be found throughout Montana, Idaho, Oregon, and Washington in grocery & specialty stores.","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",www.lifelinefarm.com
,"42229 Lamborn Mesa Road
Paonia, CO 81428, United States",,"Fruit,Herbs And Spices,Lavender,Fodder And Grassland,Grassland",20151024,,Lamborn Mountain Farmstead,4,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
,"1035 NW 21st Terrace
Miami, FL 33127",Organic Beverages | Biodynamic | ,,20151023,,Lakewood Organic Juices,1,"Juices,Fruit Juice Mixed,Fruit Juice Pure,Fruit Nectar Pure","Lakewood is an Independent Family Juice Company bottling a diverse line of pure organic and premium fruit juice products. Since 1935, our 4th Generation business continues to thrive as we fulfill our mission to deliver top quality fruit products under the guidelines of integrity and with respect for our environment.
Our juices are a delicious natural source of anti-oxidants, phytochemical nutrients, dietary fiber, vitamins and minerals. Lakewood takes pride in producing a line of fresh-pressed 100% pure organic and premium juices, with no additives or artificial ingredients of any kind.","
           “I wanted to just take a moment of my time to write to you today and tell you how much my family loves your product!! My husband and I go shopping about every 2 weeks and we always love picking up your product! Thank you so much for making a great product that enables my family and I to make great memories at our home.”
           ",www.lakewoodorganic.com
230 Acres,"3663 SW Dilley Road
Forest Grove, OR 97116, United States",Vineyard | Winery | ,"Fruit,Grapes For Wine",20151023,,Montinore Estate,3,"Wine,Wine Red,Wine Rosé,Wine White","Montinore Estate is a family family-owned and operated 230 acre vineyard and winery in the northern Willamette Valley that produces Pinot Noir, Pinot Gris, Riesling, Gewürztraminer and Müller-Thurgau.
Cropped: 230 Acres
Total Acreage: 230 Acres","“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",www.montinore.com
,"Post Office Box 69
Barnegat Light, NJ 08006, United States",,,20151024,,Middle Earth Organics,P,"Preserves And Tomato Products,Tomato Puree Natural",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
55 Acres,"2355 West Dry Creek Road
Healdsburg, CA 95448, United States",Vineyard | Winery | ,"Fruit,Grapes For Wine",20151023,,Montemaggiore,2,,"Montemaggiore, which means great mountain in Italian, specializes in mountain-grown estate red wines that are hand-crafted by owners Vincent and Lise Ciolino. Vincent is the organic and Biodynamic winegrower, while Lise makes the wines—together they produce elegant, distinctive wines that have received accolades around the world.
Cropped: 12.5 Acres
Total Acreage: 55 Acres","
           “Montemaggiore specializes in Syrah because it's our favorite varietal but above all, our mountainside estate vineyards yield Syrah grapes with exceptional flavors! Biodynamic farming brings added strength, vitality and a unique sense of place to all our wines.”
           ",www.montemaggiore.com
,"501 Parducci Road
Ukiah, CA 95482, United States",,,20151024,,Mendocino Wine Company,5,"Wine,Wine Red",,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
93.5 Acres,"9835 West McKinley
Fresno, CA 93723, United States",Distillery | Organic Beverages | Compost Producer | Biodynamic | Farm | Vineyard | ,"Fruit,Grapes,Lemons,Oranges,Vegetables,Asparagus,Beetroot,Broccoli,Carrots,Cauliflower,Chinese Cabbage,Cucumbers,Dandelion,Eggplant,Garlic,Kale,Kohlrabi,Lettuce,Leek,Melons,Onions,Pepper Capsicum,Pumpkin,Radicchio,Radishes Red,Spinach,Sweet Potatoes,Tomatoes,Turnips,Nuts,Almonds",20151024,,Marian Farms,9,"Nuts And Dried Fruits,Almonds,Raisins,Other Plant Products,Alcohol For Processing,Oils And Fats,Almond Oil","Marian Farms is a Biodynamic® farm and distillery in Fresno, California. We believe in three things: growing great food, crafting fine spirits, and taking care of the earth. Really, we don’t think that the first two are possible without the latter.
Many of our Biodynamic® practices are a return to age-old farming methods. We make our own compost and preparations (homeopathic plant materials that stimulate plant growth and health), and we grow a diverse range of fruit and vegetables that thrive in the 12-month-a-year growing season of the Central Valley. Our commitment to Biodynamic® farming involves a spiritual component and some serious elbow grease. We also use Biodynamic® inspired Festival sprays to honor the earth that supports us.
We make our Biodynamic® and organic spirits in small batches using traditional copper-pot distillation. Our spirits are available for purchase on our website, along with raisins, almonds, and citrus (when in season).
Total Acreage: 93.5 Acres","
           “Let us never forget the cultivation of the earth is the most important labor of man. When tillage begins, other art follows. The farmers therefore, are the founders of civilization.”
           ",www.marianfarmsbiodynamic.com/
,"2401 Tinadall Ranch Road
Ukiah, CA 95482, United States",,"Fruit,Grapes For Wine",20151024,,Mattern Vineyards,2,,,"“There’s a growing swell of interest in foods  grown biodynamically among consumers who view it as organic 2.0 and are seeking  out foods grown this way as a healthier, more sustainable choice.”",
