address,contact,date,name,phone
"
PO Box 505, Clements, CA 95227",(209) 609-8280,2016-04-23,Goehring Estates,(209) 759-9463
"PO Box 388, Lodi, CA 95241",(209) 368-5361,2016-04-23,Graffinga Fruit Company,Phone: (209) 481-0464 or
"18101 E Stampede Rd.
Lodi, CA 95240",,2016-04-23,Hunters Oak Vineyard,(209) 334-4338
"PO Box 257, Victor, CA 95253",(209) 329-9156,2016-04-23,"Lewis Enterprises, Ltd.",Phone: (209) 334-1309 or
"5271 W Turner Rd, Lodi, CA 95242",locklranches@gmail.com,2016-04-23,Lock L. Ranches,(209) 481-1315
"25300 N. Tully Rd, Acampo, CA 95220",machvnds@clearwire.net,2016-04-23,Machado Vineyards,(209) 327-2315
"18700 East River Road
Ripon, CA 95366",mfv@McManisFamilyVineyards.com,2016-04-23,McManis Family Vineyards,(209) 599-1186
"12609 N. West Lane
Lodi, CA 95240",Contact: Bruce Fry,2016-04-23,Mohr-Fry Ranches,(209) 334-3808
"
3747 W Woodbridge Rd, Lodi, CA 95242",jsmolles@yahoo.com,2016-04-23,Molles Vineyard,Phone: (209) 329-3671
"13852 E Peltier Rd, Acampo, CA 95220",vinosfinos@yahoo.com,2016-04-23,Nestor Enterprises,Phone: (209) 727-5092
"5631 E Kettleman Ln, Lodi, CA 95240",(209) 712-6857,2016-04-23,Nickle Ranch,Phone: (209) 369-0524 or
"PO Box 144, Clements, CA 95227",(209) 327-3165,2016-04-23,R-N-R Vineyard,Phone: (209) 759-3265 or
"PO Box 1446, Woodbridge, CA 95258",(209) 329-2904,2016-04-23,Roland Hatterle Vineyard,Phone: (209) 369-0633 or
"115 N. School St
Lodi, CA 95240",Contact: Jonathan Wetmore,2016-04-23,Round Valley Ranches,(209) 369-6805
"6109 E. Peltier Road
Acampo, CA 95220",Contact: Steve Dutra,2016-04-23,S&V Dutra Farms,(209) 369-4558
"21634 N Mann, Acampo, CA 95220",(209) 368-9293,2016-04-23,Starr-Woehl Vineyards,Phone: (209) 601-1055 or
"7581 W Kile Rd, Lodi, CA 95242",bill.stokes@stokesfarms.com,2016-04-23,Stokes Brothers,(209) 794-2380
"PO Box 248, St. Helena, CA 94574",fcabral@tfewines.com,2016-04-23,Trinchero/Sutter Home Estates,(707) 302-3059
"1377 E. Lodi Ave, Lodi, CA 95240",craig@vinofarms.net,2016-04-23,Vino Farms,(209) 334-6975
"PO Box 538, Acampo, CA 95220",wcvminc@att.net,2016-04-23,Williams Custom Vineyard,(209) 471-4039
